No,部屋名,X座標,Y座標,radius,イベント順序,イベント名,イベント本文,選択肢１名称,選択肢１本文（結果）,選択肢１経過時間,選択肢２名称,選択肢２本文（結果）,選択肢２経過時間,選択肢３名称,選択肢３本文（結果）,選択肢３経過時間,選択肢４名称,選択肢４本文（結果）,選択肢４経過時間,4M+E分類,重要度(SABC),ファクター,推奨対応時間(目安),5分以上,選択肢１点数,選択肢１重み付きスコア,選択肢２点数,選択肢２重み付きスコア,選択肢３点数,選択肢３重み付きスコア,選択肢４点数,選択肢４重み付きスコア
1,受付１,540,366,5,1,受付カウンター崩壊,受付用の電子カルテが倒れている,元に戻す,とりあえず整える,2,通路確保だけする,通路だけ確保,1,電源をつける,付かない。ケーブル損傷か？,2,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
2,受付１,540,366,5,2,スプリンクラーの故障,スプリンクラーの故障で水放出,迂回誘導,濡れ・冷え防止。,3,バケツ置く,すぐにいっぱいになる,2,元栓探す,不明。,10,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
3,第一撮影室,504,394,10,1,FPDの保全,FPDが床に落ちている。,壁際に寄せる,最小限の動作で破損リスクを下げた。,1,抱えて持ち歩く,重くて避難の妨げになり、結局落とす。,5,元の場所に戻す,余震で再度落下し、使用不能となる,1,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Machine (設備・機械),C,1,120分以降 (安定期),〇,5,5,4,4,5,5,3,3
4,第一撮影室,504,394,10,2,高電圧ケーブル垂下,発生器から太いケーブルが外れ、ぶら下がっている。,触らず大きく迂回,感電リスクを回避し退室。,2,棒でのける,絶縁体でなかったため感電。【死亡】,60,避けて通る,余震でケーブルが暴れ頭部直撃。,60,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
5,ポータブル保管庫,496,448,10,1,天井パネル落下,ポータブル装置周囲に天井パネルが散乱している,損傷の確認,周囲の確認を行った,1,電源が付くか確認する,電源の確認。起動した,1,テスト照射,照射可能,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
6,ポータブル保管庫,496,488,10,2,ポータブルPCの破損,ポータブル用のPCが落下している。,電源をつけてみる,電源が付いてもすぐ消える。,1,USBコネクターの確認,コネクターが曲がっておりUSB端子が一つ使わない。,1,電源ケーブルの確認,抜けている。赤コンセントに接続,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
7,第一撮影室操作室,475,442,10,1,患者のパニック,遠くで患者が『怖い、誰か』と叫んでいる。,頭を守ってととりあえず叫ぶ,視認できないのでとりあえず声をかける,1,「落ち着いて」と叫ぶ,声が届かず、周りの騒音で聞こえていない,5,一人で逃げる,患者が見捨てられ、後に懲戒へ。,1,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Man (人),S,10,0-5分 (即時),〇,5,50,4,40,5,50,0,0
8,スタッフ控室,400,392,10,1,災害ボックスの発見,コンテナボックスがあることを確認した。,中身を全部取り出す。,とりあえず一式を確認し、対応マニュアルを取り出した,3,マニュアルとチェックリスト取り出す。,対応手順を確認した。,1,安全な場所へ移動させて確認する。,安全を確認したのちにマニュアル、チェックリストを取り出した,4,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Method (方法・手順),A,4,15分以内 (初動),,,,,,,,,
9,スタッフ控室,400,392,10,2,ロッカーの傾き,いまにも倒れてきそう。,近づかない,下敷き回避。,1,ロッカーと床との間につかえそうなものがありそう,ロッカーに触れた直後に倒れて手が床とロッカーの間に挟まり損傷,8,そこ以外を探索して使用できるものを探す,何もなかった,4,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,Machine (設備・機械),B,4,60分以内 (二次),,,,,,,,,
10,スタッフ控室,400,392,10,3,床に落ちている黒い物体,トランシーバーが転がっている,電源をつける,電源が付くことを確認した,1,赤コンセントで充電する。,コンセントの位置を確認して安全な箇所にさした,2,トランシーバーで更新を試みる,誰も応答しない,2,この空間の異常はもうなさそうだ。もう一度確認する。,もう一度確認する,0,Environment (環境),B,4,60分以内 (二次),,,,,,,,,
11,読影室２,349,450,10,1,ケトル転倒,熱湯がこぼれている。,近づかない,火傷防止。,1,拭く,湯をわかしたままであったことで軽いやけどを負う,3,コンセントを抜く,漏電防止,0,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
12,読影室２,349,450,10,2,棚の転倒,本が崩れている。,整頓してスペース確保,怪我人収容場所。,2,寝る,サボり。余震発生時の火災、漏電リスクが高くなる,10,使えるものを探す,なにもなかった,5,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,,,,,,,,,,,,,
13,スタッフ更衣室,282,412,10,1,棚からものが散乱,棚から固定具が全て落ちており、棚が４５度で倒れている,棚をおこす,触った瞬間に倒れてしまい、足を巻き込んだ,8,テープを探して進入禁止,危ないので予防措置を実施した。,2,使えそうなものを探す,ぎりぎり大丈夫であったが、次の余震で倒れるだろう,3,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Method (方法・手順),B,4,60分以内 (二次),〇,3,12,5,20,4,16,3,3
14,スタッフ更衣室,282,412,10,2,食料の確保,非常食がロッカーにある。,ポケットに入れる,長期戦に備えた。,1,その場で食べる,喉が渇き、水が欲しくなる。,5,全部カバンに詰める,重くて動けなくなる。,3,この空間の異常はもうなさそうだ。もう一度確認する。,もう一度確認する,0,Material（材料・モノ）,B,4,60分以内 (二次),〇,5,20,4,16,4,16,3,3
15,第二透視室操作室,259,426,10,1,付いていたはずの電源が消えている,電源をつけて点検を行う,通常手順で電源をつける,付かない。（通電されていない）,3,ブレーカーを落とす,漏電防止としていったんブレーカーを落とす,1,マニュアルを探して対応する,呼んで該当箇所を探すのに時間がかかった,5,この空間の異常はもうなさそうだ。もう一度確認する。,もう一度確認する,0,Machine (設備・機械),B,4,60分以内 (二次),〇,4,16,5,20,4,16,3,3
16,第二透視室操作室,259,426,10,2,ラックが倒れている。,ラックが倒れており、プロテクターが散乱している,通路を確保する分のみ片付ける,最低限の確保,1,元の状態に戻す,それなりに時間がかかった。,3,プロテクターをつけて行動,体は重くなるが防護力UP,1,この空間の異常はもうなさそうだ。もう一度確認する。,もう一度確認する,0,Environment (環境),C,1,120分以降 (安定期),,,,,,,,,
17,第二透視室,200,427,10,1,手荒い場の損傷,蛇口が壊れて生活水が絶え間なく出ている,吸水シートで覆う,感染拡大を防止。,3,素手でとめる,効果なく、疲れた。,5,救急外来に行き誰か呼ぶ,誰も助けてくれず時間の無駄,6,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Environment (環境),B,4,60分以内 (二次),〇,4,16,4,16,3,12,3,3
18,第二透視室,200,427,10,2,酸素吸引共用スタンド,音がしている,酸素流量計の確認,酸素が出ている,1,吸引側の確認,異常なし,1,根本から外す,不要な酸素流出を阻止,1,この空間の異常はもうなさそうだ。もう一度確認する。,もう一度確認する,0,Machine (設備・機械),A,7,15分以内 (初動),,,,,,,,,
19,第一透視室操作室,257,326,10,1,ガラス飛散防止,操作室の鉛ガラスにヒビ。崩れそうだ。,段ボール養生,飛散を最小限に抑え、通路確保。,5,使用禁止にする,紙を貼った際にガラス片で手を怪我する,5,ハンマーで割る,破片が飛び散り、部屋が使用不能に。,10,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Method (方法・手順),B,4,60分以内 (二次),〇,4,16,4,16,3,12,3,3
20,第一透視室操作室,257,326,10,2,情報収集（PHS）,院内PHSが繋がらない。,直接救急へ走る,確実な情報収集と安否確認ができた。,5,かけ直し続ける,回線パンクで繋がらず、10分浪費。,10,待機する,放射線科が無人と思われる。,10,この空間の異常はもうなさそうだ。もう一度確認する。,もう一度確認する,0,Environment (環境),B,4,60分以内 (二次),〇,4,16,3,12,3,12,3,3
21,第一透視室,220,295,10,1,棚の破損と転倒,内視鏡の落下危機,ケースに収納,破損を防ぎ、後の診療に貢献。,3,テープで固定,簡易的だが揺れには耐えた。,2,手で持ち続ける,自分の避難が遅れる。,5,この空間の異常はもうなさそうだ。もう一度確認する。,もう一度確認する,0,Environment (環境),B,4,60分以内 (二次),〇,4,16,5,20,4,16,3,3
22,患者廊下３,148,358,10,1,テレビ情報,ニュース流す。,情報収集,広域被害把握。,2,電源の確認,白いコンセントに接続されている。,1,モニターが表示されない,ビデオモードになっていた。,1,この空間の異常はもうなさそうだ。もう一度確認する。,もう一度確認する,0,Method (方法・手順),B,4,60分以内 (二次),,,,,,,,,
23,受付２,128,411,5,1,落下物,天井パネルが落ち、操作卓を直撃。,電源コードを抜く,誤作動とショートを防ぐ。,2,破片を手で払う,鋭利な金具で手を切る。,5,PCを起動する,異物が挟まりショート発火。,7,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Environment (環境),B,4,60分以内 (二次),〇,5,20,4,16,3,12,3,3
24,乳腺前室,99,446,10,1,災害物品の発見,模造紙とペンの一式を発見（クロノロジー用）,壁に貼る,時系列記録準備。,2,床に敷く,床が濡れていることに気づかず少し使えなくなる,4,この場所で記録し始める,狭くてくしゃくしゃになる,3,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Machine (設備・機械),B,4,60分以内 (二次),,,,,,,,,
25,乳腺更衣室,29,443,10,1,鏡の落下,洗面台の鏡が割れて床に散乱している。,破片に注意し迂回,怪我をすることなく安全に移動できた。,1,素手で片付ける,手指を深く切り、止血処置が必要になった。,8,踏んでトイレを使用する。,靴底にあるガラス片を周囲に散乱させた,5,この空間の異常はもうなさそうだ。もう一度確認する。,もう一度確認する,0,Machine (設備・機械),B,4,60分以内 (二次),〇,5,20,3,12,4,16,3,3
26,乳腺撮影室,59,409,10,1,予約票散乱,個人情報が表示されている,回収し隠す。,漏洩防止。,3,ごみとして捨てる,後日問題となる恐れあり,1,掃除して棚に隠しておく,後でわからなくなる,1,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Environment (環境),C,1,120分以降 (安定期),,,,,,,,,
27,第二血管撮影室,62,344,10,1,ラージモニターが破損,ラージモニターのレール破損し落下している。,壁際へ退避,自分の身を守りながら観察する,1,動かしてみる,天井からレールが落下。頭部損傷,17,部屋を使用禁止とし、張り紙をはる,危険回避,4,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Machine (設備・機械),B,4,60分以内 (二次),〇,5,20,1,4,4,16,3,3
28,スタッフルーム操作室,68,269,10,1,バイタルモニター,倒れており、液晶モニターが破損している。音が鳴っている,触らないようにする,とりあえず、後回しにする,1,音を消す,ボタン操作する。電力の無駄遣い,2,電源切る,監視放棄したものの安全確保,1,この空間の異常はもうなさそうだ。もう一度確認する。,もう一度確認する,0,Machine (設備・機械),B,4,60分以内 (二次),,5,20,2,8,5,20,3,3
29,スタッフルーム操作室,68,269,10,2,カテーテル棚倒壊,カテーテルが散乱。,踏まないよう迂回,物品保護。,2,使えるように片付ける,以外に時間がかかる,10,高そうなものだけ片付ける,破損・転倒回避,2,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Method (方法・手順),C,1,120分以降 (安定期),〇,5,5,3,3,5,5,3,3
30,第二血管撮影室機械室,25,261,10,1,壁の亀裂(中）,壁に1cm×4cmの亀裂を発見,とりあえず、亀裂を隠す,紙でも貼っておく,2,危険なので、部屋を使用禁止にする,とりあえず人を入れないようにする。,1,亀裂の中を確認する,亀裂が広がる,4,この空間の異常はもうなさそうだ。もう一度確認する。,もう一度確認する,0,Environment (環境),A,7,15分以内 (初動),〇,5,35,5,35,4,28,1,7
31,機材倉庫,111,220,10,1,プロテクター散乱,防護衣ハンガーが倒れ道を塞ぐ。,端に寄せる,通路確保。,3,またいで通る,足を取られて転倒。,1,整理する,重くて腰を痛めるが安全な通路を確保できた,5,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Material（材料・モノ）,C,1,120分以降 (安定期),〇,4,4,5,5,4,4,3,3
32,第一血管撮影室,52,160,10,1,Cアームがおかしい,固定されているはずのCアームが揺れている,アーム退避・ロック,ロックがかからない,2,アンカーボルトの確認,アンカーボルトが浮いているようにみえる,1,触らないようにする,使用禁止になる,1,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Machine (設備・機械),B,4,60分以内 (二次),,,,,,,,,
33,第一血管撮影室機械室,122,184,10,1,CARTO機器の損傷,機器が転倒し、側面が破損している。,機械を起こして端に寄せる,機械が重く、時間を有した,4,通路分だけ確保した,後で起こすようにする。再転倒防止,1,MEに連絡する。,繋がらない。時間を無駄にした,3,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Machine (設備・機械),B,4,60分以内 (二次),,,,,,,,,
34,患者廊下２,184,137,15,1,水漏れ発見,天井から水が滴下している。エアコン。,バケツ対応,すぐにいっぱいになる,5,防水シーツを置く,すぐにいっぱいになる,6,他の人に応援を求める,とりあえず伝達してみる。,2,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Machine (設備・機械),B,4,60分以内 (二次),〇,4,16,3,12,5,20,3,3
35,患者廊下２,184,137,15,2,骨粗鬆症患者の誘導,患者は高齢で足元がおぼつかない。歩様ゆっくり,手を引いて誘導,転倒させずに避難完了。,5,車椅子を探す,見つからず時間をロスした。,10,先に行くよう促す,患者が廊下で転倒し骨折してしまう。,1,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Man (人),A,7,15分以内 (初動),〇,4,28,3,21,5,35,1,7
36,第３MRI室,55,69,10,1,配管ガスの確認,壁の酸素アウトレット付近からシューという音。,元栓を閉鎖,酸素漏れによる爆発・火災を防いだ。,3,テープで塞ぐ,応急処置。後で対策とする。,5,記録だけ残す,とりあえず記録するが、火災が起きた場合は爆発する,0,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,Material（材料・モノ）,B,4,60分以内 (二次),〇,5,20,5,20,2,8,3,3
37,第３MRI室操作室,27,97,10,1,監視モニタ落下,監視モニターのアンカーボルトの破損,落下したモニターをとりあえずどかす,2次災害防止,2,電源を切り、モニターをどかす,2次災害防止,4,元に戻す,アンカーが曲がっており設置に時間がかかった,12,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
38,第３MRI室操作室,27,97,10,2,インジェクター操作,インジェクターが使えるか自己判断を走らせて使用可能か閑談しようとする,自己判断を行わない,漏電防止。,1,自己判断を走らせる,動かないため、配線を確認する。,10,電源をつけて、後で確認する,エラー表示を見落とす。つけたまま漏電可能性向上,2,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
39,WC,260,261,5,1,トイレ閉じ込め,トイレから助けを呼ぶ声が聞こえた気がする。,ドアを蹴破る,緊急避難措置として行動したが誰もいなかった,5,鍵を探す,変形で鍵が使えなかった。,7,院内の管理部腫を呼ぶ,電話など繋がらない。,5,この空間の異常はもうなさそうだ。もう一度確認する。,もう一度確認する,0,Man (人),A,7,15分以内 (初動),〇,4,28,3,21,4,28,1,7
40,CT室前室,295,347,10,1,ウォーターサーバー,転倒しているウォーターサーバーを発見,端に寄せて起こす,設置していた容器から水が出てずぶぬれとなる,3,電源を抜く,漏電防止,1,ウォーターサーバーおよび水確保,安全と思われる場所に搬送,5,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,,,,,,,,,,,,,
41,CT室操作室,295,347,10,1,画像転送確認,直前に撮影した患者がPACSへ転送されているか不安になった。,未転送を確認,再送準備。,2,転送確認よりもほかを優先する,画像が送られていないと問い合わせが来た。,0,直接サーバーに送信する,サーバー停止してるのか確認できない。,0,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,,,,,,,,,,,,,
42,CT室機械室,295,347,10,1,発熱しているユニットがあるように思う,空調停止が停止している。,ドア開放,冷却。,2,氷置く,水没故障。,0,仰ぐ,効果薄。,1,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,,,,,,,,,,,,,
43,第一CT室,361,279,10,1,天井のインジェクターがゆれている,いつもよりも傾いているようにみえる,使用禁止とする,使用禁止として、部屋を使用禁止とする。,2,ぐらつきを調べる,音がして、アンカーネジの落下,3,通電させる,反応なし。商用電源喪失中,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
44,第一CT室,361,279,10,2,外装に異変,外装に問題ないように見えるが現状、機器に亀裂はない,かるく見て問題ないと返すことが適法化,転落を防止した。基本動作。,1,アンカーボルトの確認,問題なし,3,ブレーカーを落とす,漏電防止措置を行った,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
45,第一CT室,361,279,10,3,薬品が散乱している,生食が散乱している,回収する,拾い集める,1,余震発生,生食を踏んで床が濡れてしまう。,1,棚に戻す,以外に時間がかかった,3,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,,,,,,,,,,,,,
46,救急撮影室,426,319,10,1,棚の転倒,スチール棚が倒れ、通路を塞いでいる。,迂回・立入禁止,安全を確保し、他のルートを探した。,1,無理に通る,服が引っかかり、棚がさらに崩れて怪我をした。,10,一人で起こす,重すぎて腰を痛め、動けなくなった。,30,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
47,スタッフ廊下,461,358,15,1,床の隆起（小）,盛り上がった個所があり、亀裂がある,テープでマーキング,見えるようにする。,1,隆起の上に椅子を置いておく,何かがあることを知らせる,2,特になにもしない,次に来た人がこける,2,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Environment (環境),B,4,60分以内 (二次),,,,,,,,,
48,スタッフ廊下,342,366,15,2,私物の散乱,財布やロッカーの荷物が散乱,使用禁止にする,盗難防止。,5,片付けられるところを片付ける,使用できそうなものを探す。,4,部屋の奥までとりあえず人がいないか探す。,安全確認後すぐ部屋から出る。,2,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,,,,,,,,,,,,,
49,スタッフ廊下,342,366,15,3,災害物品の発見,模造紙とペンの一式を発見（クロノロジー用）,壁に貼る,時系列記録準備。,2,床に敷く,床が濡れていることに気づかず少し使えなくなる,4,この場所で記録し始める,狭くてくしゃくしゃになる,3,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
50,救急撮影室操作室,479,333,10,1,無停電電源装置(UPS),UPSのアラームが鳴り響いている。,負荷を切り安全停止,バッテリーを持たせ、システムを保護した。,2,停止ボタン連打,強制終了によりシステムエラーが発生した。,3,コンセントを抜く,うるさいので、電源を切るも次ぎ立ち上げた時にエラー有,2,この空間の異常はもうなさそうだ。もう一度確認する。,もう一度確認する,0,Machine (設備・機械),C,1,120分以降 (安定期),,,,,,,,,
51,骨密度,526,281,10,1,エアコンから水漏れ,天井から水が落下,エアコンの電源を落とす,感電リスク回避,1,人を呼ぶ,誰も来ない,1,吸水シートを引いておく,一次措置,2,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,,,,,,,,,,,,,
52,骨密度,526,281,10,2,ガラス戸の破損,ガラスが割れて外気が流入している。（気温１度）,立ち入り禁止にする,2次災害防止,4,別の待合を確保する準備をする。,放射線科業務よりも優先して対応した,20,ガラスを片付け、段ボールで応急措置,一応使える状態となった,15,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,,,,,,,,,,,,,
53,第２CT室,460,170,10,1,データのバックアップ,サーバー接続確認を行わなければならないか？,外付けハードディスクの確認,データ保全。,7,電源をつけてサーバー確認,電源が付いたのでバックアップ,8,電源付けずに損傷だけ確認,ケーブル断線有無を確認,2,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,,,,,,,,,,,,,
54,第一MRI室,407,151,10,1,headコイル落下,暗くてよく見えないがコイルが落下している,破片の回収,急いでいて手を負傷してしまう,2,そりあえずそのままにする,後で考える,0,使えるか確認する,使用できた,10,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
55,第一MRI室更衣室,406,180,10,1,エアコンから水漏れ,天井から水が落下,エアコンの電源を落とす,感電リスク回避,1,人を呼ぶ,誰も来ない,1,吸水シートを引いておく,一次措置,2,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,,,,,,,,,,,,,
56,MRI操作室,280,150,10,1,酸素濃度計,アラーム鳴動。,退避する,使用禁止にする,1,中に誰かいないか入って確認する,扉が閉まってしまい、窒息してしまう,10,扉を少しだけ開け中の人を確認する。,人の存在を確認する,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
57,第二MRI室機械室,272,93,10,1,パネルユニットの発熱,ユニットの一部から煙が出ている,消火器で消火,冷却。,5,電源ユニットのブレーカーを遮断,とりあえず火災予防する,1,非常ベルを押す,電源が落ちていて作動しない,1,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,,,,,,,,,,,,,
58,第二MRI室機械室,272,93,10,2,機械室異音,ガスが噴射しているような音がする,入室禁止にする,窒息回避。,1,扉を開放する,ガスが勢いよく噴き出す,1,少しだけ開けて中にいる人を確認する,生存確認して閉じる,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
59,第二MRI室,186,149,10,1,天吊りの点滴棒が落下している,点滴棒が落下し機械に傷がついている,足でどかす,怪我防止。,2,元の状態に戻す,レールが傾いていることに気づき辞める,1,部屋の外に出す,部屋の安全を確保,1,これ以上今の地点で見える異常はなさそうだ。,対応を後回し次に進む,0,,,,,,,,,,,,,
60,第二MRI室前室,190,182,10,1,CDプレーヤー,壁掛けTVが外れそう。,コーン設置,直撃防止。,2,支える,怪我。,0,下で見る,直撃。,0,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
61,患者廊下１,590,473,15,1,骨粗鬆症患者の誘導,患者は高齢で足元がおぼつかない。歩様ゆっくり,手を引いて誘導,転倒させずに避難完了。,5,車椅子を探す,見つからず時間をロスした。,10,先に行くよう促す,患者が廊下で転倒し骨折してしまう。,1,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
62,患者廊下１,590,473,15,2,壁の亀裂,壁にX字の亀裂。,中央を歩く,倒壊リスク回避。,2,壁に寄りかかる,崩落に巻き込まれる。天井からパネルが落下,10,亀裂を触る,その部分の亀裂が広がる,4,この部屋の他の異常を検索する。この項目は保留とする。,対応を後回しにし、状況を見る。,0,,,,,,,,,,,,,
63,患者廊下１,507,246,15,1,患者観察依頼を看護師から依頼される,『人手が足らないから手伝って』と言われる。,手伝う。,離れられなくなり、その後の行動不可,50,搬送だけ行って、放射線科に戻る,時間を有した,10,断る,断って自分のやるべきことに戻る,1,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Man (人),B,4,60分以内 (二次),〇,0,0,3,12,3,12,3,3
64,患者廊下１,507,246,15,2,不審な外国人がいる,患者でない外国人が２人血管撮影室へと向かってきょろきょろしながら歩いていく,話しかけて、救急外来に連れていく,外国人の安全確保とひなんに貢献,2,放置する。,放射線科の私物（財布）がなくなった,2,声掛けを行った。,英語で話されたが、帰宅していった,3,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Man (人),B,4,60分以内 (二次),,,,,,,,,
65,患者廊下１,474,219,15,1,携帯電話の発見,だれかの携帯電話を発見した。,だれのか確認する。,ロックがかかっていて誰のかわからない,3,とりあえず、救急外来に届ける,みんなパニックで待ちぼうけを食らう,5,自分で持ち主を探す,少し疲れた。相手に渡せた,6,この空間の異常はもうなさそうだ。もう一度確認する。,もう一度確認する,0,Machine (設備・機械),C,1,120分以降 (安定期),,,,,,,,,
66,患者廊下４,590,473,15,1,こどもが一人でいる。,不安によりこどもが泣いている。親が処置室で処置を受けている。,相手をする。,こどもの精神的不安軽減。,17,親の状況を確認しに行く,頭部損傷しており、意識不明であることを確認した。,2,職員に引き継ぐ,ひとりでいるのは危険のため受付カウンターで見るようにさせた,4,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Man (人),B,4,60分以内 (二次),〇,1,4,5,20,4,16,3,3
67,患者廊下４,590,473,15,2,床面の体液,床に血液状の液体がこぼれている。,ゾーニング(立入禁止),感染リスクを周知し、二次被害を防いだ。,2,環境クロスで拭いた,余震発生。血液に触れてしまった,10,しっかりと消毒までする。,汚染の広がりを防いだ,5,この空間の異常はもうなさそうだ。もう一度確認する。,もう一度確認する,0,Environment (環境),A,7,15分以内 (初動),〇,5,35,2,14,4,28,1,7
68,患者廊下４,590,473,15,3,壁に1mmほどのひび,機器後方の壁に1mm程度ヒビあり,触ってヒビを詳細に確認する,ヒビが大きくなった,2,状況を写真にとる。,あまり目立たないため、写真撮影を凝った。,3,後でわかるように、紙を貼る,紙に記載して把握を容易とした,1,この空間の異常はもうなさそうだ。もう一度確認する。,もう一度確認する,0,Environment (環境),B,4,60分以内 (二次),,5,20,4,16,5,20,3,3
69,スタート位置,414,364,5,1,巨大地震発生（身の安全確保）,電子カルテを入力中にM7.4の直下型地震が県内で発生（震度７強相当）,机の下に隠れる,身の安全確保,1,パソコンが倒れないように抑える,それ以上の揺れにより体とともに転倒する。腕を負傷,2,本で頭を守る,揺れにより頭を守る前に転倒してしまう。腕の負傷,2,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Method (方法・手順),S,10,0-5分 (即時),,,,,,,,,
70,スタート位置,414,364,5,2,家族への連絡,揺れが収まった。自分の携帯が見える。安否が心配になる,LINE一通のみ,回線負荷軽減。,1,電話連打,繋がり難い・迷惑。,10,帰宅する,職場放棄。,60,この空間の他の異常を検索する。ほかの異常がないか探す,対応を後回しにし、状況を見る。,0,Method (方法・手順),B,4,60分以内 (二次),,,,,,,,,
